player_name,country,years_active,club_appearances,club_goals,club_assists,club_minutes_played,international_caps,international_goals,international_assists,international_minutes_played,club_goal_ratio,international_goal_ratio,fifa_womens_world_cup_titles,continental_titles,league_titles,champions_league_titles,domestic_cup_titles,major_individual_awards,ballon_dor_femin_wins,hat_tricks,penalty_goals,free_kick_goals,red_cards,yellow_cards,man_of_the_match_awards,captaincy_appearances,key_passes_per_game,dribbles_completed_per_game,big_chances_created,pass_accuracy_percent,clean_sheets,tackles_won_per_game,interceptions_per_game,saves_per_game,doping_tests_passed,doping_tests_failed,major_injuries_count,hall_of_fame_inducted,career_earnings_million_usd,total_trophies_won
Mia Hamm,United States,20,300,190,100,27000,276,158,71,25000,0.6333333333333333,0.572463768115942,2,4,3,0,2,10,0,10,50,30,1,20,50,200,2.0,3.0,150,85.0,0,0.5,0.3,0.0,15,0,3,1,10.0,25
Abby Wambach,United States,16,250,165,80,22000,255,184,50,22000,0.66,0.7215686274509804,1,4,2,0,1,8,0,15,60,20,2,25,60,230,1.8,2.5,130,82.0,0,0.4,0.2,0.0,12,0,4,1,20.0,20
Marta,Brazil,23,500,290,120,45000,172,115,55,16000,0.58,0.6686046511627907,0,5,6,1,3,15,0,20,40,25,1,15,80,100,2.5,4.0,200,86.0,0,0.3,0.1,0.0,20,0,5,0,80.0,30
Birgit Prinz,Germany,19,450,300,90,38000,214,128,48,20000,0.6666666666666666,0.5981308411214953,2,6,5,2,4,10,0,25,55,15,0,10,70,180,2.2,2.0,170,84.0,0,0.4,0.2,0.0,18,0,3,1,40.0,22
Sun Wen,China,17,350,200,90,30000,160,107,45,18000,0.5714285714285714,0.66875,0,5,4,0,3,8,0,18,50,20,1,15,60,150,2.3,3.5,160,83.0,0,0.3,0.2,0.0,10,0,2,1,25.0,18
Homare Sawa,Japan,16,400,150,80,32000,205,83,30,22000,0.375,0.40487804878048783,1,4,3,0,2,7,1,5,25,15,0,10,40,180,2.1,2.8,140,85.0,0,0.5,0.3,0.0,12,0,3,1,30.0,20
Abby Dahlkemper,United States,12,180,20,30,15000,90,10,15,8000,0.1111111111111111,0.1111111111111111,1,3,2,0,2,5,0,0,5,5,2,20,30,50,1.5,1.2,60,88.0,30,2.5,1.8,0.0,10,0,2,0,15.0,12
Marta,Brazil,23,500,290,120,45000,172,115,55,16000,0.58,0.6686046511627907,0,5,6,1,3,15,0,20,40,25,1,15,80,100,2.5,4.0,200,86.0,0,0.3,0.1,0.0,20,0,5,0,80.0,30
Christine Sinclair,Canada,19,400,160,100,34000,294,186,90,25000,0.4,0.6326530612244898,0,3,4,0,2,8,0,10,35,20,0,10,50,250,2.0,2.2,150,85.0,0,0.2,0.1,0.0,18,0,3,0,25.0,15
Megan Rapinoe,United States,14,250,120,80,20000,150,58,40,13000,0.48,0.38666666666666666,1,3,2,0,2,7,0,5,15,10,1,20,40,100,2.3,2.5,100,83.0,0,0.3,0.2,0.0,10,0,2,0,50.0,15
Carli Lloyd,United States,19,350,175,90,27000,330,134,50,30000,0.5,0.40606060606060607,2,4,3,0,2,9,0,7,25,12,1,15,55,220,2.1,2.8,130,84.0,0,0.4,0.3,0.0,15,0,3,1,60.0,25
Alex Morgan,United States,16,280,160,80,21000,192,127,60,22000,0.5714285714285714,0.6614583333333334,1,3,2,0,2,7,0,8,35,15,1,20,45,180,2.0,2.5,120,85.0,0,0.3,0.2,0.0,12,0,2,0,40.0,18
Sam Kerr,Australia,13,220,150,60,16000,101,50,25,9000,0.6818181818181818,0.49504950495049505,0,2,3,0,2,6,0,12,20,10,0,10,35,60,1.5,3.0,90,80.0,0,0.2,0.1,0.0,8,0,1,0,35.0,10
Formiga,Brazil,28,600,50,70,48000,302,30,35,27000,0.08333333333333333,0.09933774834437085,0,3,4,0,3,5,0,1,10,5,2,25,30,150,1.8,1.5,80,88.0,0,1.0,0.8,0.0,25,0,2,1,20.0,18
Marta Vieira da Silva,Brazil,23,600,350,120,50000,185,115,50,18000,0.5833333333333334,0.6216216216216216,0,5,6,1,3,18,0,25,45,20,1,15,90,120,2.7,4.5,200,85.0,0,0.3,0.2,0.0,20,0,4,0,100.0,25
Hope Solo,United States,15,180,0,5,16000,202,0,10,18000,0.0,0.0,2,3,1,0,1,8,0,0,0,0,5,25,30,100,0.2,0.1,5,78.0,120,0.1,0.1,4.5,8,0,2,0,60.0,15
Lucy Bronze,England,13,250,35,60,20000,160,22,35,18000,0.14,0.1375,1,4,4,1,3,9,0,0,5,10,1,15,40,70,2.2,2.5,80,87.0,0,1.5,1.2,0.0,10,0,2,0,50.0,20
Marta Vieira da Silva,Brazil,23,600,350,120,50000,185,115,50,18000,0.5833333333333334,0.6216216216216216,0,5,6,1,3,18,0,25,45,20,1,15,90,120,2.7,4.5,200,85.0,0,0.3,0.2,0.0,20,0,4,0,100.0,25
Sydney Leroux,United States,14,180,60,50,14000,141,35,25,13000,0.3333333333333333,0.24822695035460993,1,4,3,0,2,6,0,3,15,10,1,10,25,40,1.8,2.2,90,80.0,0,0.3,0.2,0.0,10,0,2,0,20.0,12
Tobin Heath,United States,15,220,45,70,18000,164,24,40,16000,0.20454545454545456,0.14634146341463414,1,4,4,1,3,7,0,2,10,15,0,5,35,60,2.4,3.0,100,87.0,0,0.4,0.3,0.0,12,0,2,0,30.0,18
Dzsenifer Marozsán,Germany,15,300,60,80,22000,120,25,35,15000,0.2,0.20833333333333334,1,3,5,2,3,6,0,3,12,8,0,10,30,80,2.6,3.2,110,89.0,0,0.5,0.3,0.0,10,0,3,0,40.0,20
Ada Hegerberg,Norway,11,180,150,40,16000,84,38,20,7000,0.8333333333333334,0.4523809523809524,0,2,3,1,1,5,1,5,20,10,0,5,25,30,1.5,2.5,70,80.0,0,0.1,0.1,0.0,5,0,1,0,50.0,12
Julie Fleeting,Scotland,20,500,300,100,40000,116,46,25,12000,0.6,0.39655172413793105,0,3,5,0,3,6,0,10,25,15,1,10,30,80,1.5,2.0,60,78.0,0,0.2,0.1,0.0,0,0,2,1,15.0,15
Lisa De Vanna,Australia,17,400,200,70,35000,153,57,25,15000,0.5,0.37254901960784315,0,3,4,0,2,5,0,7,20,10,1,10,35,50,1.8,2.5,80,80.0,0,0.3,0.2,0.0,10,0,3,1,25.0,18
Christine Sinclair,Canada,19,400,160,100,34000,294,186,90,25000,0.4,0.6326530612244898,0,3,4,0,2,8,0,10,35,20,0,10,50,250,2.0,2.2,150,85.0,0,0.2,0.1,0.0,18,0,3,0,25.0,15
Nadine Angerer,Germany,19,450,0,10,40000,214,0,5,20000,0.0,0.0,1,4,5,2,3,7,0,0,0,0,0,5,20,100,0.0,0.0,0,85.0,150,0.1,0.1,5.0,10,0,1,1,30.0,20
Christen Press,United States,13,220,100,80,18000,152,61,40,17000,0.45454545454545453,0.40131578947368424,1,4,3,0,2,6,0,5,15,10,1,15,35,80,2.1,2.3,100,83.0,0,0.2,0.1,0.0,8,0,2,0,30.0,15
Saki Kumagai,Japan,16,220,10,40,18000,125,5,20,11000,0.045454545454545456,0.04,1,3,4,1,2,5,0,0,2,5,0,10,20,60,2.0,1.5,60,85.0,0,1.5,1.2,0.0,10,0,2,0,20.0,15
Lauren Holiday,United States,16,300,40,50,25000,160,27,35,16000,0.13333333333333333,0.16875,1,5,3,0,2,6,0,2,10,5,0,10,25,100,1.8,2.0,80,84.0,0,0.3,0.2,0.0,10,0,2,1,25.0,15
Julie Ertz,United States,12,200,25,60,16000,162,16,35,15000,0.125,0.09876543209876543,1,4,2,0,2,5,0,1,8,5,0,8,20,80,2.0,1.5,70,86.0,0,0.4,0.3,0.0,10,0,1,0,20.0,12
